"","Locus","chromosome","position","fst"
"1390",13488,"LG02",20259945,0.4515
"1391",13490,"LG09",12276131,0.6412
"1392",13501,"LG19",2930535,0.0147
"1393",13505,"LG18",7040279,0.2417
"1394",13506,"LG01",12222620,0.0364
"1395",13521,"LG18",3780258,0.0912
"1396",13531,"LG22",14090530,0.0214
"1397",13533,"LG16",10109648,0.0416
"1398",13536,"LG01",5711276,0.0341
"1399",13539,"LG14",24844317,0.0068
"1400",13547,"LG06",17746245,0.5161
"1401",13556,"LG07",545999,0.6809
"1402",13574,"LG21",21915733,0.0369
"1403",13591,"LG03",19343259,0.3398
"1404",13598,"LG11",15810155,0.0139
"1405",13603,"LG18",21802273,0.0025
"1406",13607,"LG15",24471470,0.094
"1407",13620,"LG23",11685815,0.0143
"1408",13627,"LG06",3338770,0.0304
"1409",13634,"LG19",4341430,0.0083
"1410",13681,"LG11",23667698,0.0169
"1411",13701,"LG12",18405059,0.0813
"1412",13702,"LG13",13876524,0.0906
"1413",13720,"LG10",20106301,0.1808
"1414",13721,"LG09",20115295,0.0657
"1415",13723,"LG08",11504836,0.0314
"1416",13727,"LG19",14280623,0.0788
"1417",13732,"LG07",4878672,0.0647
"1418",13745,"LG04",9931089,0.5815
"1419",13760,"LG13",7924478,0.1212
"1420",13762,"LG13",8670969,0.0346
"1421",13773,"LG19",17987535,0.0777
"1422",13783,"LG19",9770000,0.1632
"1423",13791,"LG10",12697932,0.6807
"1424",13796,"LG03",5379523,0.0697
"1425",13818,"LG16",9080244,0.2681
"1426",13829,"LG06",3570789,-9e-04
"1427",13834,"LG21",3843338,0.1455
"1428",13846,"LG05",14410779,0.1172
"1429",13856,"LG19",8072076,0.0568
"1430",13860,"LG15",16643517,0.0274
"1431",13873,"LG12",7476701,0.0023
"1432",13880,"LG11",27245517,0.0336
"1433",13881,"LG10",5762212,0.0125
"1434",13892,"LG19",16044478,0.5345
"1435",13895,"LG11",9770660,0.0539
"1436",13897,"LG13",23112652,0.2329
"1437",13902,"LG05",5860607,0.1514
"1438",13909,"LG14",9933392,0.0389
"1439",13917,"LG06",6569806,0.5666
"1440",13927,"LG04",4562289,0.1582
"1441",13934,"LG22",12595462,0.0546
"1442",13935,"LG07",20916719,0.295
"1443",13940,"LG09",11496126,0.1471
"1444",13948,"LG18",21570622,0.006
"1445",13969,"LG20",8795426,0.0611
"1446",13975,"LG16",28690614,0.1972
"1447",13988,"LG16",17439483,0.017
"1448",14015,"LG08",13181421,0.0053
"1449",14022,"LG06",7169083,0.0112
"1450",14042,"LG09",8580009,0.1169
"1451",14044,"LG08",12687954,0.1792
"1452",14059,"LG20",11201299,0.0723
"1453",14075,"LG23",4746307,0.1669
"1454",14115,"LG23",1801745,0.0226
"1455",14130,"LG17",8854517,0.0585
"1456",14146,"LG22",9591533,0.0824
"1457",14153,"LG08",1137956,0.0306
"1458",14174,"LG18",22110953,0.0252
"1459",14176,"LG06",9604337,0.0312
"1460",14207,"LG07",18036273,0.001
"1461",14221,"LG21",20827935,0.0203
"1462",14226,"LG01",4712996,0.1933
"1463",14229,"LG07",17194590,0.0152
"1464",14249,"LG02",17331983,0.1961
"1465",14260,"LG09",16137299,0.2278
"1466",14266,"LG14",23110841,0.1002
"1467",14275,"LG22",10718843,0.0949
"1468",14285,"LG06",20325025,0.093
"1469",14296,"LG22",20639374,0.0185
"1470",14298,"LG06",2745165,0.1428
"1471",14311,"LG20",15345806,0.2536
"1472",14327,"LG16",8985041,0.0402
"1473",14329,"LG01",5404659,0.7123
"1474",14342,"LG09",141924,0.0144
"1475",14349,"LG13",23841986,-7e-04
"1476",14360,"LG11",20090953,0.0127
"1477",14365,"LG13",3111674,0.0403
"1478",14371,"LG19",2649246,0.0064
"1479",14379,"LG01",3282792,0.0053
"1480",14380,"LG16",6493538,0.0124
"1481",14405,"LG16",11024455,0.2035
"1482",14422,"LG16",13025508,0.1377
"1483",14432,"LG03",10654173,0.0415
"1484",14444,"LG22",19675493,0.0122
"1485",14459,"LG03",28067721,0.5
"1486",14461,"LG01",15523673,0.1211
"1487",14472,"LG04",30956502,0.0753
"1488",14474,"LG07",17381364,0.0211
"1489",14475,"LG19",12036721,0.0403
"1490",14489,"LG05",6441140,0.0345
"1491",14502,"LG15",7810607,0.2066
"1492",14515,"LG15",13155930,0.0247
"1493",14526,"LG10",16803171,0.1945
"1494",14537,"LG08",8319432,0.0701
"1495",14547,"LG13",788032,0.106
"1496",14550,"LG19",5644780,0.2614
"1497",14555,"LG09",17882027,0.0651
"1498",14572,"LG06",3819643,0.0275
"1499",14595,"LG03",27423553,-0.0018
"1500",14607,"LG07",30202882,0.5751
"1501",14612,"LG23",9619657,0.0144
"1502",14631,"LG01",11501011,0.0047
"1503",14641,"LG18",20610762,0.0317
"1504",14667,"LG07",9537995,0.1955
"1505",14689,"LG08",4167743,0.0189
"1506",14697,"LG12",26198542,0.0294
"1507",14714,"LG17",14503970,0.0291
"1508",14720,"LG01",14360204,0.9703
"1509",14729,"LG12",18146976,0.1555
"1510",14740,"LG17",10865346,0.0978
"1511",14741,"LG21",6153416,0.0487
"1512",14765,"LG18",17770724,0.0327
"1513",14782,"LG17",4393532,0.03
"1514",14783,"LG19",19801598,1e-04
"1515",14792,"LG18",3757273,0.0474
"1516",14829,"LG12",7992250,0.3906
"1517",14863,"LG16",9046431,0.0246
"1518",14864,"LG14",12377418,0.0092
"1519",14869,"LG13",19009416,0.0023
"1520",14875,"LG01",10197087,0.212
"1521",14878,"LG09",10710886,0.1724
"1522",14882,"LG20",20099646,0.2883
"1523",14889,"LG13",19821728,0.1498
"1524",14890,"LG02",3068799,0.0422
"1525",14897,"LG05",21210136,0.0051
"1526",14909,"LG18",19225818,0.2733
"1527",14913,"LG23",8352641,0.2913
"1528",14915,"LG03",7800068,0.0036
"1529",14917,"LG07",4571859,0.1223
"1530",14920,"LG11",13818187,0.0084
"1531",14923,"LG20",6342525,0.0212
"1532",14924,"LG16",19012423,0.0734
"1533",14930,"LG17",6469854,0.0718
"1534",14938,"LG09",10899868,0.1898
"1535",14943,"LG14",24439071,-4e-04
"1536",14955,"LG06",4090145,0.0193
"1537",14965,"LG19",19086752,0.1758
"1538",14968,"LG18",11175149,0.0987
"1539",14975,"LG19",11994410,-0.0017
"1540",14978,"LG07",12668629,0.0184
"1541",14990,"LG13",8544475,0.4284
"1542",14997,"LG18",7269364,0.0255
"1543",15002,"LG10",18594202,0.0117
"1544",15003,"LG12",8128215,0.0852
"1545",15010,"LG11",8774566,0.1278
"1546",15011,"LG08",2611461,0.0202
"1547",15034,"LG11",11184765,0.0117
"1548",15037,"LG01",13433828,0.1408
"1549",15039,"LG21",7743800,1e-04
"1550",15045,"LG10",6003028,0.0021
"1551",15052,"LG11",26568958,0.052
"1552",15053,"LG01",16100804,0.0498
"1553",15060,"LG11",4509609,0.0508
"1554",15069,"LG03",20311656,0.1324
"1555",15074,"LG23",14931584,0.1244
"1556",15101,"LG01",12649995,0.0837
"1557",15104,"LG13",20808605,0.2148
"1558",15109,"LG02",16919317,0.0082
"1559",15112,"LG08",8912517,0.1324
"1560",15119,"LG10",16344912,-0.0011
"1561",15121,"LG13",22645688,5e-04
"1562",15136,"LG18",15404441,0.2389
"1563",15139,"LG05",21923875,0.0562
"1564",15150,"LG03",7669281,0.0042
"1565",15156,"LG23",2485583,0.0244
"1566",15171,"LG23",9283213,0.018
"1567",15185,"LG18",18731251,0.0369
"1568",15207,"LG18",19412597,0.1112
"1569",15232,"LG01",1020445,-0.0017
"1570",15234,"LG10",15260066,0.2391
"1571",15235,"LG16",23745057,0.0139
"1572",15239,"LG14",8514359,0.2457
"1573",15240,"LG01",7286931,0.1199
"1574",15242,"LG12",25621100,0.0208
"1575",15267,"LG22",5820699,0.1907
"1576",15274,"LG15",5888323,0.03
"1577",15290,"LG03",7794247,0.008
"1578",15293,"LG20",22046387,0.3539
"1579",15300,"LG05",13640918,0.0536
"1580",15306,"LG21",5307455,0.031
"1581",15313,"LG10",14212835,0.019
"1582",15323,"LG18",1928483,0.1155
"1583",15326,"LG15",21253119,0.2041
"1584",15327,"LG14",12142906,0.1556
"1585",15382,"LG05",11546705,0.0327
"1586",15386,"LG03",11769363,0.1061
"1587",15393,"LG01",20244563,0.2415
"1588",15401,"LG15",4294985,0.0701
"1589",15404,"LG14",19447388,0.1247
"1590",15425,"LG09",11687002,0.008
"1591",15437,"LG21",18560515,0.0077
"1592",15442,"LG03",23446575,0.0416
"1593",15443,"LG01",20190362,0.1388
"1594",15454,"LG12",24069660,0.0027
"1595",15470,"LG18",14915792,0.0152
"1596",15494,"LG05",18979819,0.0051
"1597",15519,"LG12",18810608,0.0109
"1598",15527,"LG21",9637925,0.0884
"1599",15528,"LG16",13025420,0.4077
"1600",15531,"LG20",13226742,0.0435
"1601",15536,"LG07",5891920,0.1167
"1602",15542,"LG01",15459652,0.0123
"1603",15543,"LG01",3923225,0.055
"1604",15546,"LG13",12413111,0.3325
"1605",15549,"LG06",22868996,0.0038
"1606",15560,"LG23",19944389,0.0174
"1607",15571,"LG18",1896621,0.0158
"1608",15573,"LG06",6638277,0.8146
"1609",15582,"LG09",7267978,0.1424
"1610",15598,"LG19",16515016,0.2014
"1611",15601,"LG08",26153250,0.0297
"1612",15610,"LG21",7275660,0.2111
"1613",15614,"LG20",15153259,0.0476
"1614",15623,"LG14",27104520,0.0455
"1615",15636,"LG04",19538551,0.0068
"1616",15645,"LG07",21003278,0.0216
"1617",15650,"LG09",16091715,0.1759
"1618",15667,"LG20",23656667,0.3845
"1619",15669,"LG16",28468562,-0.0014
"1620",15670,"LG20",10321258,0.0244
"1621",15673,"LG14",13989118,0.0053
"1622",15675,"LG01",8990063,0.0137
"1623",15680,"LG18",16785048,0.0516
"1624",15699,"LG21",20801013,0.2382
"1625",15706,"LG12",21289220,-4e-04
"1626",15727,"LG16",26886242,0.0479
"1627",15746,"LG19",189341,-0.0017
"1628",15748,"LG08",10446991,0.9882
"1629",15756,"LG11",27938726,0.0669
"1630",15780,"LG23",5975215,0.8784
"1631",15786,"LG13",18869411,0.0804
"1632",15796,"LG23",10082796,0.0607
"1633",15799,"LG04",13337940,0.2422
"1634",15805,"LG19",7169435,0.0026
"1635",15806,"LG09",2600547,0.0823
"1636",15808,"LG20",6786084,0.2874
"1637",15823,"LG23",9068386,0.0286
"1638",15825,"LG01",15865506,0.0115
"1639",15846,"LG20",22418886,0.0248
"1640",15848,"LG21",10529889,0.021
"1641",15850,"LG15",8529809,0.0426
"1642",15855,"LG11",13815890,0.0272
"1643",15866,"LG14",17565545,0.0317
"1644",15887,"LG17",6752963,0.0094
"1645",15903,"LG03",7655613,0.0265
"1646",15907,"LG09",9465117,0.0071
"1647",15910,"LG04",17189095,0.1198
"1648",15918,"LG16",9680656,0.0106
"1649",15925,"LG01",26825871,0.013
"1650",15927,"LG03",29283876,0.2928
"1651",15931,"LG08",2358955,0.0045
"1652",15934,"LG07",11782849,0.6945
"1653",15965,"LG03",7238280,0.036
"1654",15973,"LG08",4711955,0.0405
"1655",15986,"LG05",11755143,0.1002
"1656",15991,"LG13",5583437,0.068
"1657",15997,"LG14",9216980,0.1073
"1658",16006,"LG02",21973340,0.0195
"1659",16009,"LG09",17406696,0.1781
"1660",16035,"LG12",18326476,0.0745
"1661",16039,"LG01",3360383,0.0355
"1662",16040,"LG01",214355,0.0231
"1663",16044,"LG15",16643429,0.0827
"1664",16047,"LG19",4033041,0.662
"1665",16062,"LG07",12076536,0.0437
"1666",16063,"LG15",10787770,0.072
"1667",16074,"LG01",4167803,0.0465
"1668",16089,"LG03",6574564,0.0717
"1669",16098,"LG23",11428544,0.0228
"1670",16121,"LG08",11993549,0.1169
"1671",16127,"LG03",5549836,0.0628
"1672",16134,"LG08",8305901,0.1098
"1673",16157,"LG23",19649645,0.2526
"1674",16168,"LG07",23331870,0.0463
"1675",16179,"LG03",27266677,0.0313
"1676",16180,"LG23",10509126,0.008
"1677",16184,"LG13",23965889,0.2694
"1678",16195,"LG08",5415841,0.0108
"1679",16205,"LG08",23333714,0.0114
"1680",16209,"LG01",6164035,0.0435
"1681",16212,"LG04",22949444,0.2882
"1682",16218,"LG07",16069098,0.0451
"1683",16231,"LG23",9724724,0.2375
"1684",16245,"LG10",19765296,0.0254
"1685",16257,"LG11",15142617,0.5216
"1686",16262,"LG03",11326896,-5e-04
"1687",16270,"LG11",3234999,0.4481
"1688",16280,"LG10",9631682,0.6127
"1689",16291,"LG01",14215233,0.1875
"1690",16292,"LG08",9791342,0.0506
"1691",16325,"LG14",3425971,0.0273
"1692",16348,"LG16",6196102,-1e-04
"1693",16352,"LG16",26257743,0.3169
"1694",16358,"LG13",18417056,0.234
"1695",16410,"LG07",6570170,0.1334
"1696",16425,"LG07",27583603,0.0251
"1697",16429,"LG11",11596915,0.3819
"1698",16457,"LG15",3946906,0.0757
"1699",16474,"LG04",14767734,0.1663
"1700",16482,"LG13",9438752,0.0064
"1701",16486,"LG16",26142570,0.017
"1702",16504,"LG06",23022030,0.7328
"1703",16520,"LG15",14334485,0.1311
"1704",16521,"LG15",10385682,0.0439
"1705",16522,"LG01",16029166,0.018
"1706",16542,"LG09",11346908,0.0069
"1707",16548,"LG18",8484982,0.0437
"1708",16549,"LG17",3102403,0.0142
"1709",16560,"LG19",5063117,0.0184
"1710",16563,"LG22",138954,0.0109
"1711",16573,"LG07",1633397,0.0252
"1712",16577,"LG22",4572970,0.0324
"1713",16599,"LG15",16275261,0.0487
"1714",16612,"LG10",1560210,0.0059
"1715",16616,"LG13",1620642,0.0743
"1716",16620,"LG04",18616085,0.7474
"1717",16630,"LG01",1729054,0.0157
"1718",16650,"LG13",11699849,-8e-04
"1719",16654,"LG23",18467308,0.0513
"1720",16655,"LG17",17473806,0.1723
"1721",16678,"LG04",21931509,0.0116
"1722",16683,"LG02",5502143,0.4879
"1723",16690,"LG20",19503177,0.0407
"1724",16706,"LG03",8053761,0.0313
"1725",16718,"LG07",27965978,0.1473
"1726",16729,"LG22",209898,0.0085
"1727",16752,"LG13",7127580,0.245
"1728",16766,"LG13",25053940,0.1166
"1729",16800,"LG04",17712984,0.0906
"1730",16806,"LG09",11496944,0.0271
"1731",16814,"LG14",2926912,0.1893
"1732",16846,"LG12",25008399,0.1285
"1733",16858,"LG21",330607,0.0678
"1734",16861,"LG23",1366855,0.1275
"1735",16874,"LG16",19137696,0.0142
"1736",16880,"LG17",18049624,0.0332
"1737",16902,"LG23",17396584,0.0775
"1738",16905,"LG19",1989696,0.0323
"1739",16908,"LG20",11658627,0.2763
"1740",16931,"LG18",19293340,0.0863
"1741",16934,"LG14",23734811,0.0437
"1742",16942,"LG08",19115287,0.5386
"1743",16955,"LG01",4680553,0.1686
"1744",16963,"LG21",7542984,0.1822
"1745",16966,"LG15",25007035,0.011
"1746",16971,"LG15",8397658,0.0715
"1747",16983,"LG11",16907359,0.0109
"1748",17002,"LG18",16070330,0.0372
"1749",17004,"LG22",9292673,0.0367
"1750",17009,"LG06",16861962,0.047
"1751",17025,"LG20",13368655,0.0185
"1752",17036,"LG07",16603045,0.1059
"1753",17038,"LG09",17129440,0.7764
"1754",17070,"LG19",11077729,0.3774
"1755",17085,"LG04",17429376,0.2845
"1756",17087,"LG11",11366771,0.6766
"1757",17099,"LG13",24084421,0.5494
"1758",17100,"LG11",9017614,-0.0012
"1759",17106,"LG14",19739720,0.0669
"1760",17128,"LG19",19855741,-0.0015
"1761",17132,"LG03",11263632,0.1201
"1762",17133,"LG07",9549553,0.0069
"1763",17134,"LG03",14854029,0.1435
"1764",17139,"LG06",6638189,0.0124
"1765",17141,"LG07",16146679,0.026
"1766",17173,"LG05",9941308,0.0198
"1767",17181,"LG10",10048933,0.2639
"1768",17183,"LG01",14174929,0.2151
"1769",17185,"LG09",13511279,0.0119
"1770",17192,"LG21",6931837,0.1683
"1771",17216,"LG07",29626247,0.0671
"1772",17228,"LG22",11276756,0.4266
"1773",17230,"LG09",11767563,0.2173
"1774",17245,"LG14",19228505,0.0397
"1775",17254,"LG21",9839979,0.0238
"1776",17255,"LG16",14444680,0.0851
"1777",17267,"LG08",12625036,0.9138
"1778",17307,"LG18",7614320,6e-04
"1779",17319,"LG06",6641359,0.1854
"1780",17325,"LG17",6195355,0.841
"1781",17328,"LG05",11002377,0.0848
"1782",17332,"LG02",12300457,0.0394
"1783",17342,"LG01",13165795,0.5804
"1784",17347,"LG06",1844542,0.095
"1785",17350,"LG21",5322647,0.0081
"1786",17351,"LG10",2645492,0.0279
"1787",17357,"LG04",18182664,0.132
"1788",17380,"LG09",14943944,8e-04
"1789",17389,"LG01",7446313,0.0276
"1790",17391,"LG02",19424468,0.5393
"1791",17392,"LG08",19037683,0.0305
"1792",17396,"LG15",24808975,0.0073
"1793",17436,"LG17",7310136,0.2652
"1794",17446,"LG13",11956125,0.1272
"1795",17489,"LG16",11744546,0.0095
"1796",17490,"LG14",27420218,0.2201
"1797",17522,"LG20",894030,0.0471
"1798",17525,"LG06",11739189,0.0219
"1799",17552,"LG19",178221,0.436
"1800",17557,"LG06",3360539,0.931
"1801",17561,"LG01",11481567,0.1672
"1802",17568,"LG16",27117684,0.0486
"1803",17578,"LG21",19954312,0.031
"1804",17580,"LG03",5317343,0.0523
"1805",17582,"LG12",6410601,0.2692
"1806",17592,"LG13",19931606,0.0715
"1807",17606,"LG02",4524449,0.1544
"1808",17624,"LG18",12170837,0.0103
"1809",17631,"LG07",17895354,0.0431
"1810",17643,"LG17",10830571,0.0632
"1811",17666,"LG08",11504924,0.0645
"1812",17680,"LG10",1123447,0.0132
"1813",17683,"LG05",12036263,0.0155
"1814",17685,"LG17",14162786,0.1719
"1815",17702,"LG09",13518924,0.2678
"1816",17708,"LG15",13907715,0.1478
"1817",17718,"LG05",21496059,0.0164
"1818",17737,"LG05",11138867,0.094
"1819",17738,"LG05",23403828,0.0579
"1820",17745,"LG03",6291658,0.0249
"1821",17760,"LG10",18095577,0.2678
"1822",17817,"LG06",11955279,0.0213
"1823",17825,"LG01",6887258,0.9567
"1824",17835,"LG07",9383414,0.9531
"1825",17837,"LG18",13681410,0.1419
"1826",17856,"LG08",4176493,0.0492
"1827",17859,"LG20",16006653,0.0154
"1828",17879,"LG10",2293277,1e-04
"1829",17885,"LG08",23012265,0.1009
"1830",17888,"LG14",10243426,0.0055
"1831",17909,"LG04",27400513,0.0067
"1832",17912,"LG09",23034645,0.0934
"1833",17917,"LG23",6910701,0.0278
"1834",17920,"LG01",4183466,0.0217
"1835",17923,"LG18",20853640,0.045
"1836",17927,"LG07",30249224,0.0605
"1837",17947,"LG14",25735447,0.0667
"1838",17951,"LG09",14669233,0.0444
"1839",17968,"LG09",23570799,0.1505
"1840",17977,"LG14",24906233,0.0915
"1841",17978,"LG02",18279914,0.0119
"1842",17985,"LG02",19239438,0.0236
"1843",17993,"LG07",28876115,0.0143
"1844",17994,"LG20",5179074,0.2985
"1845",17999,"LG10",11365506,0.0947
"1846",18002,"LG02",5475402,0.0155
"1847",18012,"LG12",22709819,0.1056
"1848",18033,"LG14",25609326,0.3069
"1849",18049,"LG02",15045848,0.0839
"1850",18065,"LG23",23935,0.3366
"1851",18070,"LG12",18432995,0.0332
"1852",18075,"LG15",6218214,0.9803
"1853",18078,"LG11",445695,0.0291
"1854",18089,"LG15",18910824,0.0311
"1855",18094,"LG18",13222722,0.1199
"1856",18111,"LG10",2525180,0.0591
"1857",18113,"LG16",20723621,-0.0017
"1858",18115,"LG18",20123093,0.0064
"1859",18134,"LG19",17667074,0.0108
"1860",18139,"LG19",11287547,0.0312
"1861",18142,"LG20",19914321,0.2122
"1862",18159,"LG06",23485475,0.075
"1863",18166,"LG12",567544,0.6041
"1864",18168,"LG22",2749536,0.0205
"1865",18186,"LG09",3902933,0.1613
"1866",18191,"LG15",23717326,0.2101
"1867",18193,"LG04",26465366,0.2274
"1868",18197,"LG02",16980393,0.013
"1869",18218,"LG20",22478003,0.0356
"1870",18232,"LG17",12103329,0.0013
"1871",18234,"LG13",8411221,0.4706
"1872",18243,"LG23",3883723,0.4945
"1873",18251,"LG22",20341831,0.0181
"1874",18253,"LG12",23861769,0.017
"1875",18273,"LG13",19032406,0.0187
"1876",18284,"LG10",21180327,0.0289
"1877",18287,"LG03",6394974,0.1351
"1878",18293,"LG22",17277075,5e-04
"1879",18298,"LG08",17506355,0.1635
"1880",18308,"LG01",22419255,0.0119
"1881",18309,"LG01",4438940,0.0102
"1882",18312,"LG17",4416937,0.4499
"1883",18313,"LG11",8774654,0.1683
"1884",18318,"LG22",3971952,0.0235
"1885",18319,"LG09",21889342,0.0741
"1886",18332,"LG12",18533379,0.0131
"1887",18336,"LG20",9658687,0.3586
"1888",18337,"LG13",14242723,0.0101
"1889",18347,"LG17",7722689,0.0587
"1890",18360,"LG08",7605562,0.0073
"1891",18366,"LG10",18594290,0.102
"1892",18398,"LG22",1046541,0.5222
"1893",18415,"LG03",27141255,0.0039
"1894",18419,"LG11",23548507,0.0782
"1895",18436,"LG01",17564712,0.0038
"1896",18448,"LG22",15177242,0.3119
"1897",18464,"LG21",21960064,0.0071
"1898",18466,"LG11",14716635,0.0176
"1899",18471,"LG21",9085935,0.1971
"1900",18476,"LG21",11674406,0.9612
"1901",18478,"LG12",11760945,0.0065
"1902",18494,"LG10",18126164,0.0483
"1903",18502,"LG09",940472,0.0549
"1904",18508,"LG04",20070601,0.3023
"1905",18517,"LG07",16558501,0.2085
"1906",18523,"LG18",5958731,0.0729
"1907",18535,"LG03",23373618,0.047
"1908",18561,"LG02",479150,0.0995
"1909",18571,"LG11",4312750,0.1162
"1910",18579,"LG18",14957201,0.1381
"1911",18582,"LG02",21499796,0.0523
"1912",18594,"LG17",17024401,0.2049
"1913",18621,"LG15",16439929,-0.0017
"1914",18625,"LG03",17142800,0.0335
"1915",18637,"LG05",21652083,0.0175
"1916",18641,"LG20",6528477,0.0731
"1917",18642,"LG20",5533118,0.0268
"1918",18648,"LG04",19725566,0.0342
"1919",18659,"LG14",2164166,0.4897
"1920",18662,"LG15",12265718,0.0358
"1921",18678,"LG16",26034933,0.1723
"1922",18685,"LG18",7683614,0.021
"1923",18687,"LG14",25020971,0.0694
"1924",18698,"LG17",2748516,0.1426
"1925",18721,"LG07",21111562,0.0211
"1926",18740,"LG15",10787858,0.0059
"1927",18741,"LG19",8595624,0.0514
"1928",18743,"LG06",7692783,0.4532
"1929",18754,"LG10",19102995,0.027
"1930",18757,"LG09",11297595,0.0382
"1931",18765,"LG18",19005461,0.6338
"1932",18770,"LG20",17297175,0.0584
"1933",18804,"LG19",19636844,0.0037
"1934",18868,"LG16",22702413,0.0154
"1935",18879,"LG11",2695805,-0.0018
"1936",18881,"LG22",7620032,0.0239
"1937",18889,"LG08",18146524,0.0286
"1938",18900,"LG08",10347890,0.0364
"1939",18906,"LG05",9579838,0.0849
"1940",18925,"LG05",11763208,0.166
"1941",18934,"LG15",8332754,0.2185
"1942",18937,"LG03",11600893,0.2364
"1943",18938,"LG23",14589392,0.796
"1944",18947,"LG11",8837364,0.0668
"1945",18951,"LG08",19037595,0.0895
"1946",18952,"LG10",2698488,0.004
"1947",18954,"LG01",13155892,0.1045
"1948",18961,"LG05",17939989,0.0086
"1949",18968,"LG16",25267546,0.0104
"1950",18975,"LG05",2579067,0.091
"1951",18993,"LG16",23002702,0.8922
"1952",19010,"LG03",13024108,0.0114
"1953",19020,"LG07",27371063,0.0459
"1954",19022,"LG21",9959989,0.0519
"1955",19023,"LG10",17098983,0.232
"1956",19037,"LG11",9019282,0.6544
"1957",19050,"LG22",5557857,0.0879
"1958",19066,"LG20",3439763,0.0077
"1959",19069,"LG13",1656421,0.3816
"1960",19081,"LG03",7238162,0.302
"1961",19083,"LG09",16022854,0.0639
"1962",19091,"LG09",14043433,0.0397
"1963",19098,"LG14",24096084,0.0325
"1964",19103,"LG20",20701458,0.0114
"1965",19107,"LG07",25260051,0.2422
"1966",19118,"LG05",14061436,0.0209
"1967",19126,"LG02",11403166,0.0947
"1968",19141,"LG18",8738997,0.1683
"1969",19170,"LG13",10600670,0.0217
"1970",19174,"LG12",5655789,0.0448
"1971",19181,"LG18",18862777,0.0279
"1972",19199,"LG09",7053631,0.0387
"1973",19201,"LG11",4663213,0.0233
"1974",19203,"LG10",24740412,0.0038
"1975",19215,"LG16",705080,0.0124
"1976",19222,"LG12",19916291,0.2942
"1977",19228,"LG11",2128700,0.0123
"1978",19231,"LG14",25976208,0.0146
"1979",19235,"LG19",1397333,0.1318
"1980",19241,"LG19",10009059,0.5998
"1981",19255,"LG03",19837223,0.0027
"1982",19263,"LG11",15974041,0.0182
"1983",19267,"LG13",19936382,0.0687
"1984",19269,"LG19",12258877,0.0618
"1985",19279,"LG23",18562360,0.0225
"1986",19286,"LG22",10702229,0.0269
"1987",19292,"LG14",22568955,0.9545
"1988",19293,"LG19",16355956,0.051
"1989",19294,"LG20",11627795,0.0287
"1990",19295,"LG13",415183,0.3839
"1991",19303,"LG16",12228873,0.6648
"1992",19329,"LG03",24955295,0.3112
"1993",19334,"LG13",4952169,0.0197
"1994",19339,"LG21",1354706,0.0602
"1995",19340,"LG01",25547121,0.0693
"1996",19342,"LG08",3742817,0.1107
"1997",19344,"LG23",6514656,0.0677
"1998",19353,"LG07",5397635,0.1477
"1999",19356,"LG21",14642869,0.0267
"2000",19360,"LG09",21644883,0.9258
"2001",19371,"LG09",10689203,0.2277
"2002",19384,"LG22",2473590,0.0162
"2003",19415,"LG08",13184542,0.0107
"2004",19421,"LG08",9600822,0.0044
"2005",19425,"LG03",10767687,0.5477
"2006",19428,"LG17",12580317,0.1435
"2007",19441,"LG03",5484346,0.1337
"2008",19458,"LG16",30927774,0.9221
"2009",19466,"LG06",22609209,0.0727
"2010",19498,"LG10",6688377,0.0214
"2011",19504,"LG13",897657,0.8097
"2012",19509,"LG13",24173924,0.2089
"2013",19515,"LG21",5363018,0.0012
"2014",19520,"LG07",29868988,0.1258
"2015",19545,"LG18",17910627,0.0354
"2016",19551,"LG06",5223455,0.347
"2017",19553,"LG23",4941545,0.0747
"2018",19559,"LG16",4031997,0.0551
"2019",19575,"LG07",8476389,0.0029
"2020",19598,"LG02",20048778,1e-04
"2021",19608,"LG13",5343568,0.1183
"2022",19616,"LG02",3134816,0.0746
"2023",19626,"LG13",6621179,0.338
"2024",19650,"LG21",20367923,0.0476
"2025",19666,"LG21",20790620,0.0105
"2026",19679,"LG19",12150283,0.3212
"2027",19683,"LG13",13024843,0.2284
"2028",19685,"LG07",28686518,0.0186
"2029",19697,"LG16",24303952,0.0132
"2030",19716,"LG01",13543599,0.085
"2031",19720,"LG14",7840851,0.0466
"2032",19725,"LG17",11204349,0.3206
"2033",19729,"LG11",9699702,0.0155
"2034",19731,"LG20",1842228,0.0146
"2035",19742,"LG11",658080,0.0291
"2036",19750,"LG02",6566985,0.2571
"2037",19756,"LG04",17689844,0.0145
"2038",19758,"LG20",13703430,0.0905
"2039",19772,"LG17",4161952,0.95
"2040",19781,"LG13",2758136,0.0041
"2041",19785,"LG07",19665494,0.0661
"2042",19795,"LG14",20229317,0.0103
"2043",19816,"LG21",4227074,0.0258
"2044",19830,"LG11",18942693,0.0922
"2045",19831,"LG09",1215049,0.0943
"2046",19853,"LG16",4413742,0.178
"2047",19854,"LG19",14775984,0.4333
"2048",19863,"LG04",29592965,0.0276
"2049",19904,"LG07",18504536,0.1324
"2050",19928,"LG14",12103261,0.2607
"2051",19932,"LG13",22491181,0.0138
"2052",19943,"LG11",5432424,0.016
"2053",19945,"LG13",17151357,0.0012
"2054",19956,"LG12",9597045,0.3338
"2055",19964,"LG11",5576643,0.0637
"2056",19965,"LG15",14387770,0.0843
"2057",19966,"LG07",11913028,0.0725
